歌曲id,曲名,分类,难度标签,定数,类别
11109,タテマエと本心の大乱闘,音击&中二节奏,7+,7.7,DX
11109,タテマエと本心の大乱闘,音击&中二节奏,10,10.1,DX
11109,タテマエと本心の大乱闘,音击&中二节奏,12+,12.7,DX
11110,はちみつアドベンチャー,音击&中二节奏,4,4.0,DX
11110,はちみつアドベンチャー,音击&中二节奏,7,7.5,DX
11110,はちみつアドベンチャー,音击&中二节奏,10,10.0,DX
11110,はちみつアドベンチャー,音击&中二节奏,12+,12.8,DX
11111,popcorn,音击&中二节奏,3,3.0,DX
11111,popcorn,音击&中二节奏,7,7.5,DX
11111,popcorn,音击&中二节奏,9,9.0,DX
11111,popcorn,音击&中二节奏,12+,12.9,DX
11113,ハム太郎とっとこうた,流行&动漫,1,1.0,DX
11113,ハム太郎とっとこうた,流行&动漫,5,5.8,DX
11113,ハム太郎とっとこうた,流行&动漫,8,8.5,DX
11113,ハム太郎とっとこうた,流行&动漫,12,12.0,DX
11113,ハム太郎とっとこうた,流行&动漫,12+,12.8,DX
11115,だから僕は音楽を辞めた,流行&动漫,2,2.0,DX
11115,だから僕は音楽を辞めた,流行&动漫,6,6.0,DX
11115,だから僕は音楽を辞めた,流行&动漫,8+,8.7,DX
11115,だから僕は音楽を辞めた,流行&动漫,12,12.5,DX
11121,ビターチョコデコレーション,niconico & VOCALOID,4,4.0,DX
11121,ビターチョコデコレーション,niconico & VOCALOID,7,7.0,DX
11121,ビターチョコデコレーション,niconico & VOCALOID,9+,9.9,DX
11121,ビターチョコデコレーション,niconico & VOCALOID,12+,12.9,DX
11122,アンドロイドガール,niconico & VOCALOID,4,4.0,DX
11122,アンドロイドガール,niconico & VOCALOID,7+,7.8,DX
11122,アンドロイドガール,niconico & VOCALOID,10,10.4,DX
11122,アンドロイドガール,niconico & VOCALOID,12+,12.9,DX
11123,スターリースカイ☆パレード,niconico & VOCALOID,4,4.0,DX
11123,スターリースカイ☆パレード,niconico & VOCALOID,7,7.5,DX
11123,スターリースカイ☆パレード,niconico & VOCALOID,10,10.0,DX
11123,スターリースカイ☆パレード,niconico & VOCALOID,12+,12.6,DX
11124,スロウダウナー,niconico & VOCALOID,4,4.0,DX
11124,スロウダウナー,niconico & VOCALOID,7,7.2,DX
11124,スロウダウナー,niconico & VOCALOID,9+,9.8,DX
11124,スロウダウナー,niconico & VOCALOID,12,12.5,DX
11125,クレイジー・ビート,niconico & VOCALOID,3,3.0,DX
11125,クレイジー・ビート,niconico & VOCALOID,6,6.5,DX
11125,クレイジー・ビート,niconico & VOCALOID,9+,9.8,DX
11125,クレイジー・ビート,niconico & VOCALOID,12+,12.8,DX
11126,バイオレンストリガー,niconico & VOCALOID,5,5.0,DX
11126,バイオレンストリガー,niconico & VOCALOID,7+,7.7,DX
11126,バイオレンストリガー,niconico & VOCALOID,10,10.0,DX
11126,バイオレンストリガー,niconico & VOCALOID,13,13.2,DX
11127,グラーヴェ,niconico & VOCALOID,3,3.0,DX
11127,グラーヴェ,niconico & VOCALOID,7,7.0,DX
11127,グラーヴェ,niconico & VOCALOID,9+,9.8,DX
11127,グラーヴェ,niconico & VOCALOID,12+,12.8,DX
11128,KILLER B,niconico & VOCALOID,3,3.0,DX
11128,KILLER B,niconico & VOCALOID,6,6.0,DX
11128,KILLER B,niconico & VOCALOID,10,10.2,DX
11128,KILLER B,niconico & VOCALOID,12+,12.8,DX
11129,すーぱーぬこになれんかった,niconico & VOCALOID,5,5.0,DX
11129,すーぱーぬこになれんかった,niconico & VOCALOID,7,7.5,DX
11129,すーぱーぬこになれんかった,niconico & VOCALOID,10,10.0,DX
11129,すーぱーぬこになれんかった,niconico & VOCALOID,13,13.2,DX
11130,アスヘノBRAVE,niconico & VOCALOID,4,4.0,DX
11130,アスヘノBRAVE,niconico & VOCALOID,6,6.5,DX
11130,アスヘノBRAVE,niconico & VOCALOID,9+,9.8,DX
11130,アスヘノBRAVE,niconico & VOCALOID,13,13.0,DX
11131,深海シティアンダーグラウンド,niconico & VOCALOID,4,4.0,DX
11131,深海シティアンダーグラウンド,niconico & VOCALOID,6,6.8,DX
11131,深海シティアンダーグラウンド,niconico & VOCALOID,10,10.0,DX
11131,深海シティアンダーグラウンド,niconico & VOCALOID,12+,12.8,DX
11132,表裏一体,niconico & VOCALOID,3,3.0,DX
11132,表裏一体,niconico & VOCALOID,6,6.5,DX
11132,表裏一体,niconico & VOCALOID,9+,9.8,DX
11132,表裏一体,niconico & VOCALOID,12+,12.9,DX
11133,Catch the Wave,niconico & VOCALOID,3,3.0,DX
11133,Catch the Wave,niconico & VOCALOID,6,6.5,DX
11133,Catch the Wave,niconico & VOCALOID,9+,9.8,DX
11133,Catch the Wave,niconico & VOCALOID,12,12.4,DX
11134,ソリッド,东方Project,4,4.0,DX
11134,ソリッド,东方Project,7+,7.8,DX
11134,ソリッド,东方Project,10+,10.7,DX
11134,ソリッド,东方Project,13,13.4,DX
11135,全力ハッピーライフ,东方Project,4,4.0,DX
11135,全力ハッピーライフ,东方Project,7,7.5,DX
11135,全力ハッピーライフ,东方Project,10,10.2,DX
11135,全力ハッピーライフ,东方Project,12+,12.8,DX
11136,Oath Act,东方Project,3,3.0,DX
11136,Oath Act,东方Project,6,6.2,DX
11136,Oath Act,东方Project,9+,9.7,DX
11136,Oath Act,东方Project,12,12.5,DX
11137,Witches night,东方Project,3,3.0,DX
11137,Witches night,东方Project,6,6.0,DX
11137,Witches night,东方Project,9,9.0,DX
11137,Witches night,东方Project,12+,12.8,DX
11138,Drive Your Fire,东方Project,3,3.0,DX
11138,Drive Your Fire,东方Project,6,6.7,DX
11138,Drive Your Fire,东方Project,9+,9.7,DX
11138,Drive Your Fire,东方Project,12+,12.8,DX
11139,wheel,东方Project,2,2.0,DX
11139,wheel,东方Project,6,6.2,DX
11139,wheel,东方Project,9,9.5,DX
11139,wheel,东方Project,12+,12.8,DX
11140,Black Lair,其他游戏,5,5.0,DX
11140,Black Lair,其他游戏,8,8.0,DX
11140,Black Lair,其他游戏,11,11.5,DX
11140,Black Lair,其他游戏,13+,13.8,DX
11141,energy trixxx,其他游戏,5,5.0,DX
11141,energy trixxx,其他游戏,7,7.5,DX
11141,energy trixxx,其他游戏,11,11.0,DX
11141,energy trixxx,其他游戏,13+,13.8,DX
11142,NULCTRL,其他游戏,3,3.0,DX
11142,NULCTRL,其他游戏,7+,7.8,DX
11142,NULCTRL,其他游戏,12+,12.6,DX
11142,NULCTRL,其他游戏,13+,13.9,DX
11143,アトロポスと最果の探究者,其他游戏,5,5.0,DX
11143,アトロポスと最果の探究者,其他游戏,7,7.2,DX
11143,アトロポスと最果の探究者,其他游戏,10+,10.8,DX
11143,アトロポスと最果の探究者,其他游戏,13+,13.7,DX
11152,ぼくたちいつでも　しゅわっしゅわ！,舞萌,3,3.0,DX
11152,ぼくたちいつでも　しゅわっしゅわ！,舞萌,7,7.0,DX
11152,ぼくたちいつでも　しゅわっしゅわ！,舞萌,11,11.3,DX
11152,ぼくたちいつでも　しゅわっしゅわ！,舞萌,13,13.0,DX
11152,ぼくたちいつでも　しゅわっしゅわ！,舞萌,13+,13.8,DX
11153,Boys O’Clock,舞萌,5,5.0,DX
11153,Boys O’Clock,舞萌,7+,7.7,DX
11153,Boys O’Clock,舞萌,10+,10.8,DX
11153,Boys O’Clock,舞萌,13,13.0,DX
11154,居並ぶ穀物と溜息まじりの運送屋,舞萌,3,3.0,DX
11154,居並ぶ穀物と溜息まじりの運送屋,舞萌,7+,7.8,DX
11154,居並ぶ穀物と溜息まじりの運送屋,舞萌,11+,11.8,DX
11154,居並ぶ穀物と溜息まじりの運送屋,舞萌,12+,12.9,DX
11155,ARAIS,舞萌,6,6.0,DX
11155,ARAIS,舞萌,8+,8.8,DX
11155,ARAIS,舞萌,12,12.0,DX
11155,ARAIS,舞萌,14,14.4,DX
11157,Aetheric Energy,舞萌,5,5.0,DX
11157,Aetheric Energy,舞萌,7+,7.8,DX
11157,Aetheric Energy,舞萌,11,11.0,DX
11157,Aetheric Energy,舞萌,13,13.4,DX
11158,Komplexe,舞萌,3,3.0,DX
11158,Komplexe,舞萌,7+,7.7,DX
11158,Komplexe,舞萌,11,11.0,DX
11158,Komplexe,舞萌,13+,13.7,DX
11159,Beautiful Future,舞萌,4,4.0,DX
11159,Beautiful Future,舞萌,8,8.0,DX
11159,Beautiful Future,舞萌,10+,10.8,DX
11159,Beautiful Future,舞萌,13+,13.7,DX
11160,Mutation,舞萌,5,5.0,DX
11160,Mutation,舞萌,8,8.5,DX
11160,Mutation,舞萌,12,12.5,DX
11160,Mutation,舞萌,14,14.0,DX
11161,オリフィス,舞萌,3,3.0,DX
11161,オリフィス,舞萌,7+,7.8,DX
11161,オリフィス,舞萌,10,10.4,DX
11161,オリフィス,舞萌,12+,12.9,DX
11162,ユメヒバナ,舞萌,4,4.0,DX
11162,ユメヒバナ,舞萌,7,7.0,DX
11162,ユメヒバナ,舞萌,10,10.0,DX
11162,ユメヒバナ,舞萌,13,13.4,DX
11163,REAL VOICE,舞萌,3,3.0,DX
11163,REAL VOICE,舞萌,7+,7.7,DX
11163,REAL VOICE,舞萌,10,10.2,DX
11163,REAL VOICE,舞萌,12+,12.8,DX
11164,パラボラ,舞萌,3,3.0,DX
11164,パラボラ,舞萌,8,8.0,DX
11164,パラボラ,舞萌,11,11.2,DX
11164,パラボラ,舞萌,13+,13.8,DX
11165,Regulus,舞萌,5,5.0,DX
11165,Regulus,舞萌,8,8.5,DX
11165,Regulus,舞萌,12,12.5,DX
11165,Regulus,舞萌,14+,14.7,DX
11166,ワンダーシャッフェンの法則,舞萌,4,4.0,DX
11166,ワンダーシャッフェンの法則,舞萌,7+,7.8,DX
11166,ワンダーシャッフェンの法則,舞萌,10+,10.7,DX
11166,ワンダーシャッフェンの法則,舞萌,14,14.1,DX
11167,BIRTH,舞萌,3,3.0,DX
11167,BIRTH,舞萌,7+,7.9,DX
11167,BIRTH,舞萌,12+,12.8,DX
11167,BIRTH,舞萌,14,14.5,DX
11168,シアトリカル・ケース,舞萌,4,4.0,DX
11168,シアトリカル・ケース,舞萌,7+,7.7,DX
11168,シアトリカル・ケース,舞萌,10+,10.8,DX
11168,シアトリカル・ケース,舞萌,12+,12.8,DX
11169,ステップアンドライム,舞萌,3,3.0,DX
11169,ステップアンドライム,舞萌,7,7.2,DX
11169,ステップアンドライム,舞萌,10,10.0,DX
11169,ステップアンドライム,舞萌,12+,12.8,DX
11170,届かない花束,舞萌,3,3.0,DX
11170,届かない花束,舞萌,7,7.5,DX
11170,届かない花束,舞萌,9+,9.8,DX
11170,届かない花束,舞萌,13,13.1,DX
11171,YURUSHITE,音击&中二节奏,5,5.0,DX
11171,YURUSHITE,音击&中二节奏,8+,8.8,DX
11171,YURUSHITE,音击&中二节奏,12,12.5,DX
11171,YURUSHITE,音击&中二节奏,14,14.4,DX
11172,ポケットからぬりつぶせ！,音击&中二节奏,3,3.0,DX
11172,ポケットからぬりつぶせ！,音击&中二节奏,6,6.5,DX
11172,ポケットからぬりつぶせ！,音击&中二节奏,10,10.2,DX
11172,ポケットからぬりつぶせ！,音击&中二节奏,13,13.2,DX
11173,トリドリ⇒モリモリ！Lovely fruits☆,音击&中二节奏,4,4.0,DX
11173,トリドリ⇒モリモリ！Lovely fruits☆,音击&中二节奏,7+,7.8,DX
11173,トリドリ⇒モリモリ！Lovely fruits☆,音击&中二节奏,10+,10.7,DX
11173,トリドリ⇒モリモリ！Lovely fruits☆,音击&中二节奏,13,13.2,DX
11174,Desperado Waltz,音击&中二节奏,5,5.0,DX
11174,Desperado Waltz,音击&中二节奏,8,8.4,DX
11174,Desperado Waltz,音击&中二节奏,11+,11.8,DX
11174,Desperado Waltz,音击&中二节奏,14,14.2,DX
11175,宛城、炎上！！,音击&中二节奏,5,5.0,DX
11175,宛城、炎上！！,音击&中二节奏,8+,8.8,DX
11175,宛城、炎上！！,音击&中二节奏,12,12.5,DX
11175,宛城、炎上！！,音击&中二节奏,13+,13.8,DX
11176,Climax,音击&中二节奏,4,4.0,DX
11176,Climax,音击&中二节奏,8,8.5,DX
11176,Climax,音击&中二节奏,12,12.0,DX
11176,Climax,音击&中二节奏,14,14.3,DX
11177,レーイレーイ,音击&中二节奏,4,4.0,DX
11177,レーイレーイ,音击&中二节奏,7+,7.8,DX
11177,レーイレーイ,音击&中二节奏,10,10.5,DX
11177,レーイレーイ,音击&中二节奏,13,13.2,DX
11177,レーイレーイ,音击&中二节奏,13+,13.7,DX
11184,Virtual to LIVE,流行&动漫,3,3.0,DX
11184,Virtual to LIVE,流行&动漫,6,6.0,DX
11184,Virtual to LIVE,流行&动漫,8+,8.7,DX
11184,Virtual to LIVE,流行&动漫,12,12.2,DX
11184,Virtual to LIVE,流行&动漫,12+,12.8,DX
11185,命に嫌われている,niconico & VOCALOID,3,3.0,DX
11185,命に嫌われている,niconico & VOCALOID,7,7.0,DX
11185,命に嫌われている,niconico & VOCALOID,10,10.2,DX
11185,命に嫌われている,niconico & VOCALOID,12+,12.8,DX
11186,アンクローズ・ヒューマン,niconico & VOCALOID,3,3.0,DX
11186,アンクローズ・ヒューマン,niconico & VOCALOID,7,7.2,DX
11186,アンクローズ・ヒューマン,niconico & VOCALOID,9+,9.8,DX
11186,アンクローズ・ヒューマン,niconico & VOCALOID,13,13.2,DX
11187,乙女解剖,niconico & VOCALOID,2,2.0,DX
11187,乙女解剖,niconico & VOCALOID,6,6.5,DX
11187,乙女解剖,niconico & VOCALOID,8+,8.8,DX
11187,乙女解剖,niconico & VOCALOID,12,12.5,DX
11188,絶え間なく藍色,niconico & VOCALOID,3,3.0,DX
11188,絶え間なく藍色,niconico & VOCALOID,6,6.2,DX
11188,絶え間なく藍色,niconico & VOCALOID,8,8.5,DX
11188,絶え間なく藍色,niconico & VOCALOID,13,13.4,DX
11189,ガランド,niconico & VOCALOID,2,2.0,DX
11189,ガランド,niconico & VOCALOID,7,7.0,DX
11189,ガランド,niconico & VOCALOID,9+,9.9,DX
11189,ガランド,niconico & VOCALOID,13,13.0,DX
11190,とりあえずアナタがいなくなるまえに,niconico & VOCALOID,3,3.0,DX
11190,とりあえずアナタがいなくなるまえに,niconico & VOCALOID,6,6.0,DX
11190,とりあえずアナタがいなくなるまえに,niconico & VOCALOID,8+,8.8,DX
11190,とりあえずアナタがいなくなるまえに,niconico & VOCALOID,11+,11.8,DX
11191,明星ギャラクティカ,niconico & VOCALOID,4,4.0,DX
11191,明星ギャラクティカ,niconico & VOCALOID,6,6.5,DX
11191,明星ギャラクティカ,niconico & VOCALOID,8+,8.7,DX
11191,明星ギャラクティカ,niconico & VOCALOID,12,12.4,DX
11192,絶対にチョコミントを食べるアオイチャン,niconico & VOCALOID,2,2.0,DX
11192,絶対にチョコミントを食べるアオイチャン,niconico & VOCALOID,6,6.8,DX
11192,絶対にチョコミントを食べるアオイチャン,niconico & VOCALOID,9+,9.8,DX
11192,絶対にチョコミントを食べるアオイチャン,niconico & VOCALOID,12+,12.9,DX
11193,デリヘル呼んだら君が来た,niconico & VOCALOID,3,3.0,DX
11193,デリヘル呼んだら君が来た,niconico & VOCALOID,7,7.2,DX
11193,デリヘル呼んだら君が来た,niconico & VOCALOID,10,10.5,DX
11193,デリヘル呼んだら君が来た,niconico & VOCALOID,13,13.1,DX
11194,ベノム,niconico & VOCALOID,4,4.0,DX
11194,ベノム,niconico & VOCALOID,6,6.5,DX
11194,ベノム,niconico & VOCALOID,9,9.0,DX
11194,ベノム,niconico & VOCALOID,12+,12.7,DX
11195,マネマネサイコトロピック,niconico & VOCALOID,5,5.0,DX
11195,マネマネサイコトロピック,niconico & VOCALOID,7,7.2,DX
11195,マネマネサイコトロピック,niconico & VOCALOID,10+,10.7,DX
11195,マネマネサイコトロピック,niconico & VOCALOID,13+,13.7,DX
11197,劣等上等,niconico & VOCALOID,4,4.0,DX
11197,劣等上等,niconico & VOCALOID,6,6.5,DX
11197,劣等上等,niconico & VOCALOID,10,10.0,DX
11197,劣等上等,niconico & VOCALOID,13,13.2,DX
11198,アスノヨゾラ哨戒班,niconico & VOCALOID,4,4.0,DX
11198,アスノヨゾラ哨戒班,niconico & VOCALOID,7,7.0,DX
11198,アスノヨゾラ哨戒班,niconico & VOCALOID,9,9.0,DX
11198,アスノヨゾラ哨戒班,niconico & VOCALOID,12+,12.8,DX
11199,悪戯センセーション,东方Project,4,4.0,DX
11199,悪戯センセーション,东方Project,7+,7.7,DX
11199,悪戯センセーション,东方Project,9+,9.8,DX
11199,悪戯センセーション,东方Project,12+,12.7,DX
11200,Paranoia,东方Project,4,4.0,DX
11200,Paranoia,东方Project,7,7.0,DX
11200,Paranoia,东方Project,9,9.5,DX
11200,Paranoia,东方Project,13,13.0,DX
11201,絡繰りドール,东方Project,3,3.0,DX
11201,絡繰りドール,东方Project,6,6.5,DX
11201,絡繰りドール,东方Project,9,9.0,DX
11201,絡繰りドール,东方Project,12+,12.9,DX
11202,物凄いヴァイブスで魔理沙が物凄いラップ,东方Project,4,4.0,DX
11202,物凄いヴァイブスで魔理沙が物凄いラップ,东方Project,7,7.0,DX
11202,物凄いヴァイブスで魔理沙が物凄いラップ,东方Project,9+,9.7,DX
11202,物凄いヴァイブスで魔理沙が物凄いラップ,东方Project,13,13.4,DX
11204,Sweet Requiem,东方Project,4,4.0,DX
11204,Sweet Requiem,东方Project,7+,7.7,DX
11204,Sweet Requiem,东方Project,10+,10.7,DX
11204,Sweet Requiem,东方Project,13+,13.7,DX
11205,Dive into The Sky ～initialized～,东方Project,4,4.0,DX
11205,Dive into The Sky ～initialized～,东方Project,6,6.2,DX
11205,Dive into The Sky ～initialized～,东方Project,9,9.2,DX
11205,Dive into The Sky ～initialized～,东方Project,13,13.0,DX
11206,BATTLE NO.1,其他游戏,6,6.0,DX
11206,BATTLE NO.1,其他游戏,8,8.5,DX
11206,BATTLE NO.1,其他游戏,12,12.2,DX
11206,BATTLE NO.1,其他游戏,14,14.5,DX
11207,Ether Strike,其他游戏,4,4.0,DX
11207,Ether Strike,其他游戏,7+,7.7,DX
11207,Ether Strike,其他游戏,10+,10.8,DX
11207,Ether Strike,其他游戏,13+,13.9,DX
11208,Cyaegha,其他游戏,4,4.0,DX
11208,Cyaegha,其他游戏,7+,7.8,DX
11208,Cyaegha,其他游戏,11,11.0,DX
11208,Cyaegha,其他游戏,13+,13.8,DX
11209,Grievous Lady,其他游戏,5,5.0,DX
11209,Grievous Lady,其他游戏,8,8.0,DX
11209,Grievous Lady,其他游戏,12,12.0,DX
11209,Grievous Lady,其他游戏,14,14.2,DX
11210,c.s.q.n.,其他游戏,5,5.0,DX
11210,c.s.q.n.,其他游戏,7+,7.8,DX
11210,c.s.q.n.,其他游戏,11,11.2,DX
11210,c.s.q.n.,其他游戏,13+,13.8,DX
11211,カラッポ・ノンフィクション,其他游戏,3,3.0,DX
11211,カラッポ・ノンフィクション,其他游戏,7,7.5,DX
11211,カラッポ・ノンフィクション,其他游戏,10,10.0,DX
11211,カラッポ・ノンフィクション,其他游戏,13+,13.7,DX
11212,emomomo,其他游戏,4,4.0,DX
11212,emomomo,其他游戏,7,7.5,DX
11212,emomomo,其他游戏,10+,10.7,DX
11212,emomomo,其他游戏,13+,13.7,DX
11213,Arty Party,其他游戏,4,4.0,DX
11213,Arty Party,其他游戏,8,8.0,DX
11213,Arty Party,其他游戏,11+,11.8,DX
11213,Arty Party,其他游戏,13+,13.9,DX
11214,Jörqer,舞萌,3,3.0,DX
11214,Jörqer,舞萌,7,7.0,DX
11214,Jörqer,舞萌,11+,11.8,DX
11214,Jörqer,舞萌,13+,13.6,DX
11215,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",舞萌,5,5.0,DX
11215,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",舞萌,8,8.0,DX
11215,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",舞萌,12,12.2,DX
11215,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",舞萌,14,14.5,DX
11216,felys -final remix-,其他游戏,4,4.0,DX
11216,felys -final remix-,其他游戏,7+,7.7,DX
11216,felys -final remix-,其他游戏,10+,10.7,DX
11216,felys -final remix-,其他游戏,14,14.4,DX
11218,自傷無色,niconico & VOCALOID,2,2.0,DX
11218,自傷無色,niconico & VOCALOID,5,5.8,DX
11218,自傷無色,niconico & VOCALOID,9,9.0,DX
11218,自傷無色,niconico & VOCALOID,12+,12.8,DX
11219,Prismatic,东方Project,3,3.0,DX
11219,Prismatic,东方Project,7,7.4,DX
11219,Prismatic,东方Project,9,9.4,DX
11219,Prismatic,东方Project,12,12.2,DX
11221,"≠彡""/了→",舞萌,5,5.0,DX
11221,"≠彡""/了→",舞萌,9,9.0,DX
11221,"≠彡""/了→",舞萌,12+,12.7,DX
11221,"≠彡""/了→",舞萌,14,14.4,DX
11222,BREaK! BREaK! BREaK!,舞萌,5,5.0,DX
11222,BREaK! BREaK! BREaK!,舞萌,8,8.5,DX
11222,BREaK! BREaK! BREaK!,舞萌,12+,12.8,DX
11222,BREaK! BREaK! BREaK!,舞萌,14+,14.6,DX
11223,Heavenly Blast,舞萌,5,5.0,DX
11223,Heavenly Blast,舞萌,9,9.0,DX
11223,Heavenly Blast,舞萌,12+,12.8,DX
11223,Heavenly Blast,舞萌,14+,14.8,DX
11224,Paradisoda,舞萌,3,3.0,DX
11224,Paradisoda,舞萌,7,7.0,DX
11224,Paradisoda,舞萌,10+,10.7,DX
11224,Paradisoda,舞萌,13,13.1,DX
11225,VANTABLACK RAVER,舞萌,4,4.0,DX
11225,VANTABLACK RAVER,舞萌,7+,7.8,DX
11225,VANTABLACK RAVER,舞萌,11,11.1,DX
11225,VANTABLACK RAVER,舞萌,13+,13.8,DX
11226,時計の国のジェミニ,舞萌,4,4.0,DX
11226,時計の国のジェミニ,舞萌,7+,7.7,DX
11226,時計の国のジェミニ,舞萌,10,10.0,DX
11226,時計の国のジェミニ,舞萌,13,13.0,DX
11227,Xenovcipher,舞萌,6,6.0,DX
11227,Xenovcipher,舞萌,8,8.5,DX
11227,Xenovcipher,舞萌,12,12.5,DX
11227,Xenovcipher,舞萌,14,14.3,DX
11228,星めぐり、果ての君へ。,舞萌,4,4.0,DX
11228,星めぐり、果ての君へ。,舞萌,7+,7.8,DX
11228,星めぐり、果ての君へ。,舞萌,10+,10.7,DX
11228,星めぐり、果ての君へ。,舞萌,12+,12.9,DX
11228,星めぐり、果ての君へ。,舞萌,13,13.1,DX
11229,スローアライズ,舞萌,4,4.0,DX
11229,スローアライズ,舞萌,7,7.5,DX
11229,スローアライズ,舞萌,10+,10.9,DX
11229,スローアライズ,舞萌,12+,12.8,DX
11230,チエルカ／エソテリカ,舞萌,5,5.0,DX
11230,チエルカ／エソテリカ,舞萌,8+,8.7,DX
11230,チエルカ／エソテリカ,舞萌,12,12.5,DX
11230,チエルカ／エソテリカ,舞萌,14,14.3,DX
11231,生命不詳,舞萌,4,4.0,DX
11231,生命不詳,舞萌,8,8.0,DX
11231,生命不詳,舞萌,11+,11.7,DX
11231,生命不詳,舞萌,13+,13.7,DX
11232,Never Give Up!,舞萌,4,4.0,DX
11232,Never Give Up!,舞萌,7+,7.8,DX
11232,Never Give Up!,舞萌,10+,10.8,DX
11232,Never Give Up!,舞萌,13+,13.8,DX
11232,Never Give Up!,舞萌,13+,13.7,DX
11233,Starry Colors,舞萌,4,4.0,DX
11233,Starry Colors,舞萌,7+,7.8,DX
11233,Starry Colors,舞萌,11,11.0,DX
11233,Starry Colors,舞萌,14,14.0,DX
11234,ほしぞらスペクタクル,舞萌,5,5.0,DX
11234,ほしぞらスペクタクル,舞萌,8,8.5,DX
11234,ほしぞらスペクタクル,舞萌,12,12.5,DX
11234,ほしぞらスペクタクル,舞萌,14,14.4,DX
11235,VIIIbit Explorer,舞萌,6,6.0,DX
11235,VIIIbit Explorer,舞萌,8,8.5,DX
11235,VIIIbit Explorer,舞萌,13,13.0,DX
11235,VIIIbit Explorer,舞萌,14+,14.7,DX
11236,Last Samurai,舞萌,4,4.0,DX
11236,Last Samurai,舞萌,8,8.0,DX
11236,Last Samurai,舞萌,12,12.0,DX
11236,Last Samurai,舞萌,13+,13.9,DX
11237,蒼穹舞楽,舞萌,5,5.0,DX
11237,蒼穹舞楽,舞萌,8,8.5,DX
11237,蒼穹舞楽,舞萌,12+,12.8,DX
11237,蒼穹舞楽,舞萌,13+,13.9,DX
11238,AMABIE,舞萌,5,5.0,DX
11238,AMABIE,舞萌,8+,8.8,DX
11238,AMABIE,舞萌,12,12.4,DX
11238,AMABIE,舞萌,14+,14.6,DX
11239,オーケー？　オーライ！,音击&中二节奏,3,3.0,DX
11239,オーケー？　オーライ！,音击&中二节奏,7,7.5,DX
11239,オーケー？　オーライ！,音击&中二节奏,9,9.5,DX
11239,オーケー？　オーライ！,音击&中二节奏,12+,12.8,DX
11240,サヨナラフリーウェイ,音击&中二节奏,3,3.0,DX
11240,サヨナラフリーウェイ,音击&中二节奏,7+,7.7,DX
11240,サヨナラフリーウェイ,音击&中二节奏,9+,9.7,DX
11240,サヨナラフリーウェイ,音击&中二节奏,12+,12.6,DX
11241,単一指向性オーバーブルーム,音击&中二节奏,3,3.0,DX
11241,単一指向性オーバーブルーム,音击&中二节奏,7,7.5,DX
11241,単一指向性オーバーブルーム,音击&中二节奏,10,10.2,DX
11241,単一指向性オーバーブルーム,音击&中二节奏,13,13.2,DX
11241,単一指向性オーバーブルーム,音击&中二节奏,13+,13.8,DX
11242,みなえをチェック！,音击&中二节奏,3,3.0,DX
11242,みなえをチェック！,音击&中二节奏,7+,7.7,DX
11242,みなえをチェック！,音击&中二节奏,10,10.0,DX
11242,みなえをチェック！,音击&中二节奏,13,13.0,DX
11243,ハジマリノピアノ,音击&中二节奏,5,5.0,DX
11243,ハジマリノピアノ,音击&中二节奏,7+,7.8,DX
11243,ハジマリノピアノ,音击&中二节奏,10+,10.8,DX
11243,ハジマリノピアノ,音击&中二节奏,13+,13.8,DX
11246,BOUNCE & DANCE,音击&中二节奏,3,3.0,DX
11246,BOUNCE & DANCE,音击&中二节奏,7+,7.7,DX
11246,BOUNCE & DANCE,音击&中二节奏,10,10.5,DX
11246,BOUNCE & DANCE,音击&中二节奏,13+,13.7,DX
11247,Kiss Me Kiss,音击&中二节奏,3,3.0,DX
11247,Kiss Me Kiss,音击&中二节奏,6,6.5,DX
11247,Kiss Me Kiss,音击&中二节奏,9+,9.8,DX
11247,Kiss Me Kiss,音击&中二节奏,12+,12.8,DX
11248,MEGATON BLAST,音击&中二节奏,5,5.0,DX
11248,MEGATON BLAST,音击&中二节奏,9,9.5,DX
11248,MEGATON BLAST,音击&中二节奏,12+,12.9,DX
11248,MEGATON BLAST,音击&中二节奏,14,14.3,DX
11249,Splash Dance!!,音击&中二节奏,3,3.0,DX
11249,Splash Dance!!,音击&中二节奏,7,7.5,DX
11249,Splash Dance!!,音击&中二节奏,10,10.0,DX
11249,Splash Dance!!,音击&中二节奏,13,13.4,DX
11253,おジャ魔女カーニバル!!,流行&动漫,3,3.0,DX
11253,おジャ魔女カーニバル!!,流行&动漫,6,6.2,DX
11253,おジャ魔女カーニバル!!,流行&动漫,8+,8.8,DX
11253,おジャ魔女カーニバル!!,流行&动漫,12+,12.8,DX
11255,タケモトピアノCMソング,流行&动漫,3,3.0,DX
11255,タケモトピアノCMソング,流行&动漫,7,7.0,DX
11255,タケモトピアノCMソング,流行&动漫,9,9.0,DX
11255,タケモトピアノCMソング,流行&动漫,12+,12.7,DX
11260,ネガティブ進化論,niconico & VOCALOID,3,3.0,DX
11260,ネガティブ進化論,niconico & VOCALOID,6,6.2,DX
11260,ネガティブ進化論,niconico & VOCALOID,8+,8.8,DX
